hotelid,zone,mgrgroup,gdlat,gdlon,isstraightconnect,star
1002065,1060,0,NULL,NULL,F,2
1002065,1060,0,NULL,NULL,T,2
1006258,211,373,31.31819344,120.6296158,F,2
1006258,211,373,NULL,NULL,F,2
1006258,211,373,NULL,NULL,T,2
1006264,211,373,31.3135891,120.6248398,F,2
1006264,211,373,NULL,NULL,F,2
1006264,211,373,NULL,NULL,T,2
1006494,-1,0,NULL,NULL,F,0
1006494,-1,0,NULL,NULL,T,0
1006494,-1,0,31.09612274,120.7786255,F,0
1007500,-1,0,31.30177879,120.6546783,F,2
1007592,-1,0,31.28516197,120.7235336,F,2
1008212,656,0,NULL,NULL,T,2
1008212,656,0,31.02719498,120.2890472,F,2
1008212,656,0,NULL,NULL,F,2
1008334,210,0,31.27760124,120.5692139,F,2
1008334,210,0,NULL,NULL,F,2
1008409,210,0,NULL,NULL,T,0
1008409,210,0,31.26926422,120.5819321,F,0
1008409,210,0,NULL,NULL,F,0
1008473,864,0,NULL,NULL,T,0
1008473,864,0,31.25325966,120.515686,F,0
1008473,864,0,NULL,NULL,F,0
1008537,864,0,NULL,NULL,F,0
1008537,864,0,31.25468445,120.5165024,F,0
1008537,864,0,NULL,NULL,T,0
1008594,656,0,NULL,NULL,T,0
1008594,656,0,NULL,NULL,F,0
1008594,656,0,31.16582298,120.5037613,F,0
1008619,864,0,NULL,NULL,F,0
1008619,864,0,NULL,NULL,T,0
1008619,864,0,31.25222206,120.5150299,F,0
1008650,864,0,31.25256157,120.5150375,F,0
1008650,864,0,NULL,NULL,F,0
1008660,656,0,NULL,NULL,F,0
1008660,656,0,NULL,NULL,T,0
1008660,656,0,31.25606918,120.5090485,F,0
1008816,1060,0,NULL,NULL,F,3
1008816,1060,0,NULL,NULL,T,3
1008816,1060,0,31.31146812,120.6685333,F,3
1012227,656,0,NULL,NULL,F,2
1012227,656,0,31.07748985,120.3604202,F,2
1012227,656,0,NULL,NULL,T,2
1012744,656,0,NULL,NULL,F,0
1012744,656,0,NULL,NULL,T,0
1012744,656,0,31.16408348,120.5067139,F,0
1013078,12378,0,NULL,NULL,T,2
1013078,12378,0,31.15655136,120.7176285,F,2
1013078,12378,0,NULL,NULL,F,2
1013234,12378,0,NULL,NULL,T,2
1013234,12378,0,31.15582466,120.716423,F,2
1013234,12378,0,NULL,NULL,F,2
1014490,211,0,31.3086586,120.6324615,F,2
1014490,211,0,NULL,NULL,F,2
1014490,211,0,NULL,NULL,T,2
1014828,-1,0,31.27741814,120.6386566,F,2
1014957,-1,0,-1,-1,F,2
1017497,-1,0,NULL,NULL,F,2
1017497,11892,0,NULL,NULL,T,2
1017497,11892,0,31.12464523,120.8492737,F,2
1017511,210,0,NULL,NULL,T,0
1017511,210,0,NULL,NULL,F,0
1017511,210,0,31.25463486,120.5755463,F,0
1017539,210,0,31.26953506,120.5818939,F,0
1017539,210,0,NULL,NULL,T,0
1017539,210,0,NULL,NULL,F,0
1019284,-1,0,NULL,NULL,F,2
1019284,-1,0,NULL,NULL,T,2
1019284,-1,0,30.90706444,120.6579285,F,2
1024530,-1,0,31.09303665,120.7774124,F,0
1024530,-1,0,NULL,NULL,F,0
1024530,-1,0,NULL,NULL,T,0
1026444,1060,291,31.27791786,120.654541,T,3
1026444,1060,291,NULL,NULL,T,3
1026444,1060,291,NULL,NULL,F,3
1026444,1060,291,31.27815247,120.6564636,F,3
1028201,656,0,31.16580963,120.5041428,F,0
1028201,656,0,NULL,NULL,F,0
1028201,656,0,NULL,NULL,T,0
1028502,656,0,NULL,NULL,F,2
1028502,656,0,31.06480408,120.2945709,F,2
1033818,12377,0,NULL,NULL,F,2
1033818,12377,0,31.16950035,120.6357727,F,2
1036641,210,0,NULL,NULL,F,2
1036641,210,0,31.28922272,120.5502777,F,2
1067258,656,0,NULL,NULL,F,2
1067258,656,0,NULL,NULL,T,2
1067258,656,0,31.03851509,120.3351212,F,2
1067770,12377,0,NULL,NULL,F,4
1067770,12377,0,NULL,NULL,T,4
1067770,12377,0,31.15245438,120.6357346,F,4
1068229,12378,0,NULL,NULL,F,0
1068229,12378,0,31.15615082,120.7183228,F,0
1068229,12378,0,NULL,NULL,T,0
1068810,863,0,31.42422867,120.7495499,F,2
1068810,863,0,NULL,NULL,T,2
1068810,863,0,NULL,NULL,F,2
1071934,210,0,NULL,NULL,F,4
1071934,210,0,NULL,NULL,T,4
1071934,210,0,31.36307526,120.4682312,F,4
1072635,211,281,NULL,NULL,F,2
1072635,211,281,31.31313515,120.6297531,T,2
1072635,211,281,NULL,NULL,T,2
1072635,211,281,31.31313515,120.6297531,F,2
1072672,689,321,31.31178093,120.5877991,F,2
1072672,689,321,NULL,NULL,F,2
1072672,689,321,NULL,NULL,T,2
1074655,-1,0,30.89723206,120.6603775,F,4
1074655,-1,0,NULL,NULL,F,4
1074655,-1,0,NULL,NULL,T,4
1085162,12376,0,31.21459961,120.5895081,F,0
1085162,12376,0,NULL,NULL,F,0
1085162,12376,0,NULL,NULL,T,0
1085613,12377,414,NULL,NULL,F,2
1085613,12377,414,31.16420364,120.6510468,F,2
1085613,12377,414,31.16528511,120.6516037,F,2
1085613,12377,414,NULL,NULL,T,2
1086068,-1,0,31.03673363,120.84655,F,4
1086068,-1,0,NULL,NULL,F,4
1086068,-1,0,NULL,NULL,T,4
1087593,1060,12,31.32326508,120.7135239,F,5
1087593,1060,12,NULL,NULL,T,5
1087593,1060,12,NULL,NULL,F,5
1087593,1060,12,120.7090454,31.32561111,F,5
1101631,689,281,NULL,NULL,T,2
1101631,689,281,31.31256294,120.6038055,T,2
1101631,689,281,NULL,NULL,F,2
1101631,689,281,31.31256294,120.6038055,F,2
1105449,211,281,NULL,NULL,T,2
1105449,211,281,31.31718636,120.6238403,T,2
1105449,211,281,31.31716728,120.6237793,F,2
1105449,211,281,NULL,NULL,F,2
1106317,689,321,31.30309105,120.5912476,F,2
1106684,211,281,NULL,NULL,F,2
1106684,211,281,31.30700493,120.6232758,T,2
1106684,211,281,NULL,NULL,T,2
1106684,211,281,31.30700493,120.6232758,F,2
1118111,210,0,NULL,NULL,F,2
1118111,210,0,31.35911179,120.5365524,F,2
1118120,689,0,NULL,NULL,F,2
1118120,689,0,NULL,NULL,T,2
1118120,689,0,31.31825447,120.6018448,F,2
1118999,211,0,31.30899239,120.6323853,F,2
1118999,211,0,NULL,NULL,T,2
1118999,211,0,NULL,NULL,F,2
1125958,1060,5,31.32202721,120.646698,F,2
1125958,1060,5,NULL,NULL,F,2
1125958,1060,5,NULL,NULL,T,2
1125958,1060,5,31.32202911,120.6467361,T,2
1126019,211,5,NULL,NULL,F,2
1126019,211,5,NULL,NULL,T,2
1126019,211,5,31.31200218,120.6145706,F,2
1126019,211,5,31.31200218,120.6145706,T,2
1126035,715,5,31.30121613,120.6260147,T,2
1126035,715,5,NULL,NULL,F,2
1126035,715,5,31.30121613,120.6260147,F,2
1126035,715,5,NULL,NULL,T,2
1126066,656,0,NULL,NULL,F,2
1126066,656,0,NULL,NULL,T,2
1126066,656,0,31.21824265,120.423645,F,2
1134145,863,0,NULL,NULL,T,2
1134145,863,0,31.44645119,120.8077011,F,2
1134145,863,0,NULL,NULL,F,2
1134202,689,0,31.31146812,120.6031265,F,2
1134202,689,0,NULL,NULL,T,2
1134202,689,0,NULL,NULL,F,2
1134251,210,0,NULL,NULL,F,2
1134251,210,0,31.35888672,120.5464478,F,2
1134308,656,0,31.11181831,120.4029541,F,2
1134308,656,0,NULL,NULL,T,2
1134308,656,0,NULL,NULL,F,2
1137662,863,0,31.44628716,120.8129578,F,2
1137662,863,0,NULL,NULL,F,2
1137662,863,0,NULL,NULL,T,2
1139367,12377,128,NULL,NULL,F,5
1139367,12377,128,NULL,NULL,T,5
1139367,12377,128,31.16280365,120.6456528,T,5
1139367,12377,128,31.16280365,120.6456528,F,5
1140655,12376,291,NULL,NULL,F,2
1140655,12376,291,NULL,NULL,T,2
1140655,12376,291,31.21554756,120.5911179,F,2
1143302,211,0,NULL,NULL,F,2
1143302,211,0,NULL,NULL,T,2
1143302,211,0,31.30345535,120.6147995,F,2
1143380,211,0,NULL,NULL,F,2
1143380,211,0,NULL,NULL,T,2
1143380,211,0,31.30308533,120.6148605,F,2
1143489,211,0,NULL,NULL,F,2
1143489,211,0,NULL,NULL,T,2
1143489,211,0,31.30301666,120.6148376,F,2
1157404,210,0,31.25567055,120.5828247,F,2
1157404,210,0,NULL,NULL,F,2
1158082,-1,0,NULL,NULL,F,2
1158082,-1,0,31.30574226,120.8295517,F,2
1158124,-1,0,NULL,NULL,F,0
1158124,-1,0,31.29863739,120.8317261,F,0
1158124,-1,0,NULL,NULL,T,0
1158200,211,0,NULL,NULL,T,2
1158200,211,0,31.29870224,120.6188889,F,2
1158200,211,0,NULL,NULL,F,2
1158301,12378,0,NULL,NULL,F,2
1158301,12378,0,31.15645409,120.7156982,F,2
1158301,12378,0,NULL,NULL,T,2
1188465,656,0,31.33390045,120.4049835,F,2
1188465,656,0,NULL,NULL,T,2
1188465,656,0,NULL,NULL,F,2
1188650,210,0,NULL,NULL,F,4
1188650,210,0,31.2942791,120.570488,F,4
1188650,210,0,NULL,NULL,T,4
1193514,208,0,NULL,NULL,F,2
1193514,208,0,NULL,NULL,T,2
1193514,208,0,31.34123039,120.6155472,F,2
1193596,1060,0,NULL,NULL,T,4
1193596,1060,0,NULL,NULL,F,4
1193596,1060,0,31.30361176,120.7353973,F,4
1193751,12378,0,NULL,NULL,F,2
1193751,12378,0,NULL,NULL,T,2
1193751,12378,0,31.1564827,120.7201157,F,2
1193789,208,0,NULL,NULL,F,0
1193789,208,0,31.32502747,120.6034698,F,0
1202180,656,0,NULL,NULL,F,2
1202180,656,0,31.06507492,120.2848282,F,2
1202180,656,0,NULL,NULL,T,2
1202193,208,321,NULL,NULL,F,2
1202193,208,321,NULL,NULL,T,2
1202193,208,321,31.33083916,120.6054611,F,2
1206028,12378,0,31.15750122,120.7155914,F,0
1206028,12378,0,NULL,NULL,T,0
1206028,12378,0,NULL,NULL,F,0
1206246,211,1,31.31025314,120.6194839,T,2
1206246,211,1,NULL,NULL,F,2
1206246,211,1,NULL,NULL,T,2
1206246,211,1,31.31416702,120.6203461,F,2
1206306,864,1,NULL,NULL,T,2
1206306,864,1,31.25413513,120.5173569,T,2
1206306,864,1,NULL,NULL,F,2
1206306,864,1,31.25413513,120.5173569,F,2
1206419,211,1,31.32129478,120.631546,T,2
1206419,211,1,31.32129478,120.631546,F,2
1206419,211,1,NULL,NULL,T,2
1206458,689,1,31.29693985,120.5819931,T,2
1206458,689,1,NULL,NULL,F,2
1206458,689,1,NULL,NULL,T,2
1206458,689,1,31.29693985,120.5819931,F,2
1206492,211,1,NULL,NULL,T,2
1206492,211,1,31.31097794,120.6215897,F,2
1206492,211,1,31.31097794,120.6215897,T,2
1206515,689,1,NULL,NULL,T,2
1206515,689,1,31.30264091,120.6068039,T,2
1206515,689,1,31.30264091,120.6068039,F,2
1206515,689,1,NULL,NULL,F,2
1206530,12375,1,NULL,NULL,T,2
1206530,12375,1,31.26491547,120.6286087,T,2
1206530,12375,1,31.26491547,120.6286087,F,2
1206544,210,1,31.28863716,120.5634689,F,2
1206544,210,1,31.28863716,120.5634689,T,2
1206544,210,1,NULL,NULL,T,2
1206593,689,1,31.31483078,120.6064224,F,2
1206593,689,1,NULL,NULL,T,2
1206593,689,1,31.31483078,120.6064224,T,2
1206696,715,1,NULL,NULL,T,2
1206696,715,1,NULL,NULL,F,2
1206696,715,1,31.29322624,120.6286087,F,2
1206696,715,1,31.29322624,120.6286087,T,2
1206742,689,1,31.31115913,120.5758133,T,2
1206742,689,1,31.31097794,120.5772247,F,2
1206742,689,1,NULL,NULL,T,2
1206840,210,1,31.31949806,120.5585861,T,2
1206840,210,1,NULL,NULL,T,2
1206840,210,1,31.31949806,120.5585861,F,2
1206878,12375,1,31.26641846,120.6178665,T,2
1206878,12375,1,31.26641846,120.6178665,F,2
1206878,12375,1,NULL,NULL,T,2
1206920,864,1,NULL,NULL,T,2
1206920,864,1,31.2577095,120.5112076,F,2
1206920,864,1,NULL,NULL,F,2
1206920,864,1,31.2577095,120.5112076,T,2
1207073,211,1,NULL,NULL,T,2
1207073,211,1,NULL,NULL,F,2
1207073,211,1,31.31414413,120.6206284,T,2
1207073,211,1,31.31414413,120.6206284,F,2
1207130,865,1,31.37168503,120.6303787,F,2
1207130,865,1,31.37168503,120.6303787,T,2
1207130,865,1,NULL,NULL,T,2
1207166,12377,1,31.16078568,120.6771088,F,2
1207166,12377,1,31.16077614,120.6770935,T,2
1207166,12377,1,NULL,NULL,F,2
1207166,12377,1,NULL,NULL,T,2
1207214,12377,1,31.15960884,120.6442642,T,2
1207214,12377,1,NULL,NULL,T,2
1207214,12377,1,NULL,NULL,F,2
1207214,12377,1,31.15960884,120.6442642,F,2
1207291,208,1,31.33660126,120.6040802,F,2
1207291,208,1,31.33660126,120.6040802,T,2
1207291,208,1,NULL,NULL,T,2
1207496,209,1,31.25979233,120.730629,T,2
1207496,209,1,31.25979233,120.730629,F,2
1207496,209,1,NULL,NULL,T,2
1207579,210,1,31.30572128,120.5484772,F,2
1207579,210,1,31.30572128,120.5484772,T,2
1207579,210,1,NULL,NULL,T,2
1207579,210,1,NULL,NULL,F,2
1207675,1060,1,31.32203674,120.7197495,T,2
1207675,1060,1,NULL,NULL,T,2
1207675,1060,1,NULL,NULL,F,2
1207675,1060,1,31.32203674,120.7197495,F,2
1207706,656,1,31.08275986,120.4112091,T,2
1207706,656,1,NULL,NULL,T,2
1207706,656,1,31.08275986,120.4112091,F,2
1207843,211,1,31.31071091,120.6439285,T,2
1207843,211,1,31.31071091,120.6439285,F,2
1207843,211,1,NULL,NULL,T,2
1207866,928,1,31.26758385,120.8679428,T,2
1207866,928,1,31.26758385,120.8679428,F,2
1207866,928,1,NULL,NULL,T,2
1211065,211,0,NULL,NULL,F,2
1211065,211,0,31.31860733,120.613884,F,2
1211065,211,0,NULL,NULL,T,2
1216463,210,0,31.28184319,120.5587921,F,2
1216463,210,0,NULL,NULL,T,2
1216463,210,0,NULL,NULL,F,2
1216552,210,0,31.27988052,120.5707245,F,2
1216552,210,0,NULL,NULL,F,2
1216641,656,0,31.02565002,120.2958298,F,2
1216641,656,0,NULL,NULL,F,2
1216641,656,0,NULL,NULL,T,2
1216732,656,0,NULL,NULL,T,2
1216732,656,0,NULL,NULL,F,2
1216732,656,0,31.19154358,120.3641281,F,2
1216792,210,0,31.29240417,120.5584106,F,2
1216792,210,0,NULL,NULL,F,2
1216792,210,0,NULL,NULL,T,2
1216895,715,0,NULL,NULL,T,2
1216895,715,0,31.29167175,120.6352081,F,2
1216895,715,0,NULL,NULL,F,2
1217013,210,0,31.30782127,120.5637894,F,2
1217013,210,0,NULL,NULL,F,2
1217013,210,0,NULL,NULL,T,2
1217197,-1,0,NULL,NULL,T,2
1217197,-1,0,NULL,NULL,F,2
1217197,-1,0,30.9034996,120.5115891,F,2
1217749,715,0,31.30145264,120.6325607,F,2
1217749,715,0,NULL,NULL,F,2
1217749,715,0,NULL,NULL,T,2
1218002,656,0,31.15110207,120.3088913,F,2
1218002,656,0,NULL,NULL,T,2
1218002,656,0,NULL,NULL,F,2
1218619,1060,0,31.28735733,120.6635742,F,2
1218619,1060,0,NULL,NULL,F,2
1218701,1060,0,31.28733826,120.6635666,F,2
1218701,1060,0,NULL,NULL,F,2
1218891,715,373,NULL,NULL,F,2
1218891,715,373,31.30121231,120.6262512,F,2
1218891,715,373,NULL,NULL,T,2
1218927,1060,11,NULL,NULL,T,5
1218927,1060,11,NULL,NULL,F,5
1218927,1060,11,31.30550194,120.6529617,F,5
1218968,689,373,NULL,NULL,F,2
1218968,689,373,31.31365395,120.6031036,F,2
1218968,689,373,NULL,NULL,T,2
1218994,689,373,31.30351639,120.6068878,F,2
1218994,689,373,NULL,NULL,T,2
1218994,689,373,NULL,NULL,F,2
1221114,689,0,31.30831528,120.5895615,F,2
1221114,689,0,NULL,NULL,F,2
1221444,864,0,31.27359962,120.5181503,F,2
1221444,864,0,NULL,NULL,F,2
1221444,864,0,NULL,NULL,T,2
1221570,211,0,NULL,NULL,F,2
1221570,211,0,31.31640816,120.6082993,F,2
1221570,211,0,NULL,NULL,T,2
1221802,-1,1,30.90228844,120.6248016,T,2
1221802,-1,1,30.90225792,120.6251831,F,2
1221802,-1,1,NULL,NULL,T,2
1223315,865,0,31.39893723,120.616066,F,2
1223315,865,0,NULL,NULL,F,2
1223315,865,0,NULL,NULL,T,2
1223334,865,0,31.39918518,120.6307983,F,2
1223334,865,0,NULL,NULL,T,2
1223334,865,0,NULL,NULL,F,2
1223377,865,0,NULL,NULL,F,2
1223377,865,0,31.4060955,120.6448746,F,2
1223489,210,0,31.30661011,120.5523224,F,2
1223489,210,0,NULL,NULL,F,2
1223582,210,0,31.30659103,120.5519409,F,2
1223582,210,0,NULL,NULL,F,2
1223643,210,0,NULL,NULL,F,2
1223643,210,0,NULL,NULL,T,2
1223643,210,0,31.30588531,120.541275,F,2
1223660,210,0,NULL,NULL,F,2
1223660,210,0,31.30594063,120.541748,F,2
1223706,656,0,NULL,NULL,F,2
1223706,656,0,31.06758308,120.2737579,F,2
1223706,656,0,NULL,NULL,T,2
1223771,656,0,NULL,NULL,T,2
1223771,656,0,NULL,NULL,F,2
1223771,656,0,31.08012772,120.2924805,F,2
1227662,211,0,31.29960251,120.6134491,F,2
1227662,211,0,NULL,NULL,F,2
1227662,211,0,NULL,NULL,T,2
1227694,208,0,NULL,NULL,F,2
1227694,208,0,NULL,NULL,T,2
1227694,208,0,31.33863258,120.615654,F,2
1228196,208,0,NULL,NULL,F,2
1228196,208,0,NULL,NULL,T,2
1228196,208,0,31.32993126,120.6045227,F,2
1229710,210,0,NULL,NULL,F,2
1229710,210,0,31.30800247,120.5585709,F,2
1229710,210,0,NULL,NULL,T,2
1231126,656,0,NULL,NULL,F,2
1231126,656,0,31.03076172,120.2930374,F,2
1231126,656,0,NULL,NULL,T,2
1231266,865,0,NULL,NULL,F,2
1231266,865,0,31.39897919,120.6363831,F,2
1231266,865,0,NULL,NULL,T,2
1231352,210,0,NULL,NULL,F,2
1231352,210,0,31.31585312,120.5441132,F,2
1231393,210,0,31.31539917,120.5406494,F,2
1231393,210,0,NULL,NULL,F,2
1231429,865,0,NULL,NULL,T,2
1231429,865,0,31.35956001,120.621254,F,2
1231429,865,0,NULL,NULL,F,2
1231467,210,0,31.3156662,120.5426483,F,2
1231467,210,0,NULL,NULL,F,2
1231589,210,0,NULL,NULL,F,2
1231589,210,0,31.30394745,120.5473938,F,2
1231624,210,0,NULL,NULL,T,2
1231624,210,0,31.3042717,120.5472412,F,2
1231624,210,0,NULL,NULL,F,2
1232836,656,0,NULL,NULL,F,2
1232836,656,0,31.1922226,120.3643723,F,2
1232836,656,0,NULL,NULL,T,2
1232892,210,0,NULL,NULL,F,2
1232892,210,0,31.30970192,120.5383606,F,2
1232902,210,0,NULL,NULL,F,2
1232902,210,0,31.30407143,120.5473099,F,2
1232902,210,0,NULL,NULL,T,2
1232926,210,0,31.31645966,120.5494003,F,2
1232926,210,0,NULL,NULL,F,2
1232936,1060,0,31.34410286,120.6921234,F,2
1232936,1060,0,NULL,NULL,F,2
1232936,1060,0,NULL,NULL,T,2
1232955,1060,0,NULL,NULL,F,2
1232955,1060,0,31.34332848,120.6894379,F,2
1232955,1060,0,NULL,NULL,T,2
1232965,865,0,31.36277008,120.6211319,F,2
1232965,865,0,NULL,NULL,T,2
1232965,865,0,NULL,NULL,F,2
1233209,656,0,NULL,NULL,F,2
1233209,656,0,NULL,NULL,T,2
1233209,656,0,31.04760933,120.3797302,F,2
1234011,12378,0,31.1586113,120.7195816,F,2
1234011,12378,0,NULL,NULL,F,2
1234011,12378,0,NULL,NULL,T,2
1234168,12378,0,NULL,NULL,T,0
1234168,12378,0,31.15386581,120.721489,F,0
1234168,12378,0,NULL,NULL,F,0
1234560,656,0,NULL,NULL,T,2
1234560,656,0,NULL,NULL,F,2
1234560,656,0,31.33390045,120.4054794,F,2
1235388,656,0,NULL,NULL,F,2
1235388,656,0,31.22755432,120.5206146,F,2
1235479,1060,0,31.30941582,120.6499557,F,2
1235479,1060,0,NULL,NULL,F,2
1235479,1060,0,NULL,NULL,T,2
1235536,1060,0,NULL,NULL,F,2
1235536,1060,0,31.30816841,120.6528549,F,2
1235576,210,0,NULL,NULL,T,2
1235576,210,0,NULL,NULL,F,2
1235576,210,0,31.30999756,120.5469284,F,2
1235617,1060,0,NULL,NULL,T,2
1235617,1060,0,NULL,NULL,F,2
1235617,1060,0,31.30930138,120.6510162,F,2
1235678,210,0,NULL,NULL,F,2
1235678,210,0,31.31001472,120.5478516,F,2
1236346,863,0,NULL,NULL,F,2
1236346,863,0,31.35895538,120.7878418,F,2
1236346,863,0,NULL,NULL,T,2
1236388,863,0,NULL,NULL,F,2
1236388,863,0,31.35984421,120.7903824,F,2
1236462,1060,0,NULL,NULL,F,4
1236462,1060,0,NULL,NULL,T,4
1236462,1060,0,31.36144257,120.712944,F,4
1236678,210,0,NULL,NULL,T,2
1236678,210,0,31.30951309,120.5587997,F,2
1236678,210,0,NULL,NULL,F,2
1237498,863,0,NULL,NULL,T,2
1237498,863,0,NULL,NULL,F,2
1237498,863,0,31.35772705,120.7823029,F,2
1237573,865,0,NULL,NULL,T,2
1237573,865,0,31.39736176,120.6159897,F,2
1237573,865,0,NULL,NULL,F,2
1237597,865,0,NULL,NULL,F,2
1237597,865,0,NULL,NULL,T,2
1237597,865,0,31.40102005,120.6173172,F,2
1238245,863,0,NULL,NULL,F,0
1238245,863,0,31.47676468,120.8166962,F,0
1238263,211,0,31.31405067,120.6282501,F,2
1238263,211,0,NULL,NULL,T,2
1238263,211,0,NULL,NULL,F,2
1238331,689,0,NULL,NULL,T,2
1238331,689,0,31.31279564,120.6037369,F,2
1238331,689,0,NULL,NULL,F,2
1240010,863,0,NULL,NULL,F,2
1240010,863,0,31.35834122,120.7827911,F,2
1240023,12375,0,NULL,NULL,T,2
1240023,12375,0,31.27584076,120.6387253,F,2
1240023,12375,0,NULL,NULL,F,2
1240099,12375,0,NULL,NULL,T,2
1240099,12375,0,NULL,NULL,F,2
1240099,12375,0,31.27547836,120.6387939,F,2
1240133,1060,0,31.31679726,120.6490402,F,2
1240133,1060,0,NULL,NULL,F,2
1240133,1060,0,NULL,NULL,T,2
1240146,12375,0,31.27638245,120.6373901,F,2
1240146,12375,0,NULL,NULL,F,2
1240146,12375,0,NULL,NULL,T,2
1241726,208,0,NULL,NULL,F,2
1241726,208,0,NULL,NULL,T,2
1241726,208,0,31.32670021,120.6147995,F,2
1241836,12375,0,NULL,NULL,T,2
1241836,12375,0,NULL,NULL,F,2
1241836,12375,0,31.27827644,120.6379547,F,2
1242520,12377,0,31.05476379,120.8851776,F,3
1242520,12377,0,NULL,NULL,F,3
1242520,12377,0,NULL,NULL,T,3
1243340,865,0,31.44072342,120.5484924,F,2
1243340,865,0,NULL,NULL,F,2
1243348,865,0,NULL,NULL,T,2
1243348,865,0,31.43923187,120.5474167,F,2
1243348,865,0,NULL,NULL,F,2
1243366,865,0,NULL,NULL,F,2
1243366,865,0,31.44312286,120.5493546,F,2
1243366,865,0,NULL,NULL,T,2
1243404,656,0,31.14045525,120.2634888,F,2
1243404,656,0,NULL,NULL,F,2
1243404,656,0,NULL,NULL,T,2
1243434,656,0,NULL,NULL,F,2
1243434,656,0,31.06627846,120.2957458,F,2
1243434,656,0,NULL,NULL,T,2
1243469,865,0,NULL,NULL,T,2
1243469,865,0,31.43100739,120.553093,F,2
1243469,865,0,NULL,NULL,F,2
1243545,865,0,NULL,NULL,F,2
1243545,865,0,NULL,NULL,T,2
1243545,865,0,31.37451172,120.6197891,F,2
1245895,211,0,31.30977631,120.6317749,F,2
1245895,211,0,NULL,NULL,T,2
1245895,211,0,NULL,NULL,F,2
1246051,865,0,31.43000984,120.5522156,F,2
1246051,865,0,NULL,NULL,T,2
1246051,865,0,NULL,NULL,F,2
1246236,210,0,31.25412941,120.5756378,F,2
1246236,210,0,NULL,NULL,F,2
1246236,210,0,NULL,NULL,T,2
1246296,211,0,31.31687927,120.6194077,F,2
1246296,211,0,NULL,NULL,T,2
1246296,211,0,NULL,NULL,F,2
1246332,865,0,NULL,NULL,F,2
1246332,865,0,31.46838188,120.6487732,F,2
1246332,865,0,NULL,NULL,T,2
1246370,865,0,NULL,NULL,T,2
1246370,865,0,NULL,NULL,F,2
1246370,865,0,31.4648304,120.6470261,F,2
1246378,1060,0,NULL,NULL,F,2
1246378,1060,0,NULL,NULL,T,2
1246378,1060,0,31.34431839,120.6921768,F,2
1246403,1060,0,31.34403992,120.6924896,F,2
1246403,1060,0,NULL,NULL,F,2
1246512,865,0,31.46281242,120.6470718,F,2
1246512,865,0,NULL,NULL,T,2
1246512,865,0,NULL,NULL,F,2
1246555,210,414,NULL,NULL,F,2
1246555,210,414,NULL,NULL,T,2
1246555,210,414,31.36044312,120.5072327,F,2
1246626,1060,0,NULL,NULL,F,2
1246626,1060,0,31.29549026,120.6841278,F,2
1246985,864,0,NULL,NULL,F,2
1246985,864,0,NULL,NULL,T,2
1246985,864,0,31.25721169,120.5461273,F,2
1247049,12375,0,31.24863052,120.631424,F,2
1247049,12375,0,NULL,NULL,T,2
1247049,12375,0,NULL,NULL,F,2
1247072,12375,0,31.24832344,120.6313553,F,2
1247072,12375,0,NULL,NULL,F,2
1247072,12375,0,NULL,NULL,T,2
1247133,12375,0,NULL,NULL,T,2
1247133,12375,0,NULL,NULL,F,2
1247133,12375,0,31.2485981,120.6311493,F,2
1247280,12375,0,NULL,NULL,T,2
1247280,12375,0,31.2551384,120.6327286,F,2
1247280,12375,0,NULL,NULL,F,2
1247295,12375,0,NULL,NULL,F,2
1247295,12375,0,NULL,NULL,T,2
1247295,12375,0,31.2478466,120.6322098,F,2
1247374,208,0,NULL,NULL,T,2
1247374,208,0,31.33444595,120.6029205,F,2
1247374,208,0,NULL,NULL,F,2
1247485,12375,0,NULL,NULL,F,2
1247485,12375,0,31.27607536,120.6387787,F,2
1247485,12375,0,NULL,NULL,T,2
1247522,12375,0,31.24477768,120.6363602,F,2
1247522,12375,0,NULL,NULL,T,2
1247522,12375,0,NULL,NULL,F,2
1247650,208,0,NULL,NULL,F,2
1247650,208,0,31.3266964,120.6145782,F,2
1247650,208,0,NULL,NULL,T,2
1247654,211,0,NULL,NULL,F,2
1247654,211,0,NULL,NULL,T,2
1247654,211,0,31.30938911,120.6107864,F,2
1247673,211,0,NULL,NULL,F,2
1247673,211,0,NULL,NULL,T,2
1247673,211,0,31.31564331,120.6208496,F,2
1247747,656,0,NULL,NULL,T,2
1247747,656,0,31.2154808,120.4180603,F,2
1247747,656,0,NULL,NULL,F,2
1247762,1060,0,NULL,NULL,T,2
1247762,1060,0,NULL,NULL,F,2
1247762,1060,0,31.30622864,120.6511917,F,2
1247793,1060,0,31.30693436,120.6509781,F,2
1247793,1060,0,NULL,NULL,F,2
1247793,1060,0,NULL,NULL,T,2
1247894,1060,0,31.34174347,120.6936951,F,2
1247894,1060,0,NULL,NULL,F,2
1247946,1060,0,31.34725952,120.6969147,F,2
1247946,1060,0,NULL,NULL,T,2
1247946,1060,0,NULL,NULL,F,2
1247993,208,0,NULL,NULL,F,2
1247993,208,0,NULL,NULL,T,2
1247993,208,0,31.33577728,120.6055908,F,2
1248017,1060,0,31.34400177,120.6918793,F,2
1248017,1060,0,NULL,NULL,F,2
1248017,1060,0,NULL,NULL,T,2
1248696,208,0,NULL,NULL,T,2
1248696,208,0,31.3309803,120.6018219,F,2
1248696,208,0,NULL,NULL,F,2
1248755,208,0,31.33666611,120.6062851,F,2
