hotelid,one,two,three,four,five,six
1408289,1408392,1256452,NULL,NULL,NULL,NULL
1408392,1408289,NULL,NULL,NULL,NULL,NULL
1408466,2041164,NULL,NULL,NULL,NULL,NULL
1409609,1889294,711529,2111306,2111306,497954,1765231
1411080,497004,NULL,NULL,NULL,NULL,NULL
1411686,1206878,1333915,2377103,2377103,NULL,NULL
1417105,2217701,NULL,NULL,NULL,NULL,NULL
1417342,1735537,1773153,1928497,1928497,1747626,1575878
1417481,1942074,1793296,2189173,2189173,1793331,NULL
1419445,2192423,1502957,1845690,1845690,2110800,1320283
1422804,1333915,1207291,436130,436130,988288,1685853
1426105,1759480,1736499,731192,731192,1249650,814714
1426779,1249340,NULL,NULL,NULL,NULL,NULL
1434497,2189113,2319209,NULL,NULL,NULL,NULL
1439481,753070,NULL,NULL,NULL,NULL,NULL
1442884,1866603,1735425,1206920,1206920,1735148,815197
1443024,2657612,466319,NULL,NULL,NULL,NULL
1444024,2609708,NULL,NULL,NULL,NULL,NULL
1444940,1731171,1735879,1340159,1340159,1839003,1227694
1445437,1445990,1845703,NULL,NULL,NULL,NULL
1445475,940839,NULL,NULL,NULL,NULL,NULL
1445990,1445437,1845703,NULL,NULL,NULL,NULL
1446547,814530,1450770,2059574,2059574,1000446,815227
1446599,3018443,2165141,2324014,2324014,1313071,1227694
1447549,1593956,1659913,458583,458583,NULL,NULL
1450770,1797061,1572637,1000446,1000446,815227,2011932
1451864,1949001,436236,2189094,2189094,2188917,1543382
1451868,814770,2167075,1235617,1235617,NULL,NULL
1451915,2097224,1685484,1525804,1525804,NULL,NULL
1451923,2462396,1561900,NULL,NULL,1232902,1223643
1452010,441209,392481,444795,444795,1507659,453399
1454018,2885783,1206246,NULL,NULL,NULL,NULL
1454705,1761658,1454707,1525524,1525524,1257787,2362770
1454707,814478,1454705,893558,893558,1814796,1227694
1456056,2111306,1683533,1072635,1072635,988366,1983184
1456786,1903315,991212,943212,943212,1733387,1660330
1466123,1793340,1526203,1730553,1730553,NULL,NULL
1469803,1348807,NULL,NULL,NULL,NULL,NULL
1469815,2376559,1279968,NULL,NULL,NULL,NULL
1486104,1207214,1772598,1763388,1763388,NULL,NULL
1487764,930483,1747562,1207130,1207130,991230,2102330
1487825,1206742,1667356,1814214,1814214,988366,1257787
1487914,1207866,1256520,1684102,1684102,1255842,2331534
1487965,2195278,1921416,1562304,1562304,394138,485319
1487979,1488015,1312950,1904820,1904820,1685484,1526762
1488015,1889294,493182,1487979,1487979,1685484,2111007
1488024,1207214,2189113,1763344,1763344,1763388,1279370
1488060,1840335,1541992,1013234,1013234,1668459,752357
1488638,1812367,1928439,1525502,1525502,NULL,NULL
1489811,1385258,1702479,1006264,1006264,1826842,1730412
1494830,547841,1576201,491009,491009,382765,1193596
1499435,440993,1333915,445115,445115,2188917,1698222
1502957,1736499,731192,1745545,1745545,1837657,1988507
1503351,1735053,1565864,1773153,1773153,930376,1968626
1503602,1667401,2189173,1724725,1724725,1526178,1793331
1507303,1207214,NULL,NULL,NULL,NULL,NULL
1507344,1578375,2151835,1235479,1235479,1828568,1988507
1507368,814976,1577509,2217701,2217701,1747669,2362658
1507592,1525863,1707763,1712976,1712976,753208,965066
1507659,449729,392481,439053,439053,425560,917961
1507696,753070,2188751,1707763,1707763,1507592,1735965
1507999,1814553,1216552,1814214,1814214,1831276,1543382
1509099,2063890,NULL,NULL,NULL,NULL,NULL
1509525,1262796,1938130,919397,919397,NULL,NULL
1513741,2294179,NULL,NULL,NULL,NULL,NULL
1514069,445072,NULL,NULL,NULL,NULL,NULL
1515109,449729,498607,400229,400229,917961,453399
1515592,1565864,NULL,NULL,NULL,NULL,NULL
1517221,1736226,1814365,1731171,1731171,1764801,486386
1517705,486234,1525580,2260432,2260432,444549,442850
1518630,493151,NULL,NULL,NULL,NULL,NULL
1520595,491916,1741898,1668459,1668459,1989162,1840234
1521330,874429,457639,923828,923828,427515,459432
1521818,1218891,1333915,937732,937732,2188917,486386
1525338,983749,1218891,1006264,1006264,1814389,944521
1525502,1206878,930572,1831670,1831670,1562304,1206530
1525524,1542793,1126035,1927956,1927956,1499435,2385751
1525580,394209,943557,930495,930495,444381,1517705
1525614,1126019,1072635,1072672,1072672,1764801,486386
1525653,1126019,485507,1206492,1206492,1698222,1207073
1525776,1126019,1949001,445115,445115,1525614,485354
1525804,493182,1207675,2281192,2281192,991179,1526762
1525834,1938266,1938151,2063890,2063890,485637,1258233
1525863,1814584,1735386,1247673,1247673,1287295,1407386
1525878,1735537,1206920,1526623,1526623,1377758,815197
1525953,1218891,1832042,1688077,1688077,1736369,893477
1526178,1221802,2189173,1705430,1705430,2158455,1793331
1526203,1466123,1793340,1730553,1730553,NULL,NULL
1526231,1799747,2189113,1207166,1207166,1763991,753355
1526309,1207214,119308,1488024,1488024,1763388,2319209
1526531,1517221,1736226,1561900,1561900,1487825,1575919
1526603,1761658,1207291,1228196,1228196,1575919,1575384
1526623,1273972,1735537,1206920,1206920,1525878,1206306
1526641,1303109,1206696,485598,485598,1526740,445230
1526681,485485,2188751,1507696,1507696,1526603,1206419
1526740,1526641,1487965,485598,485598,2110800,1526862
1526762,1207675,1312950,2097224,2097224,1904820,1816938
1526790,1333915,1521818,497979,497979,1206458,1526862
1526823,937663,1711554,1206593,1206593,1525614,1995384
1526862,2022783,1735678,1526641,1526641,1072672,1526740
1526986,2165141,1207130,991230,991230,2164979,991165
1527084,1689073,1665647,1620546,1620546,NULL,NULL
1535514,1206544,1812367,1207579,1207579,1831258,1565984
1537324,760716,1659241,1555903,1555903,3045725,1736546
1537358,1227662,1613672,1822380,1822380,1921287,1537324
1538844,1558290,1736499,731192,731192,1928139,1732004
1540271,1218994,NULL,NULL,NULL,NULL,NULL
1541943,2988308,NULL,NULL,NULL,NULL,NULL
1541992,1840335,1324124,1795959,1795959,1488060,2153767
1542118,1957873,1921443,524713,524713,1921233,486386
1542140,1736381,1072635,1685727,1685727,1389188,2414687
1542332,1889294,1659198,937663,937663,1206492,2111007
1542793,1385258,1218891,1207843,1207843,943212,1733387
1542901,1732808,683555,895973,895973,1747669,2362658
1543275,1866365,NULL,NULL,NULL,NULL,NULL
1543382,1206840,1207579,1747626,1747626,1236678,1831276
1543830,2401577,1284869,1340159,1340159,2146994,1814695
1544168,1238263,1730412,1072672,1072672,1287295,2042394
1548390,1247654,1502957,1006264,1006264,1745545,1685727
1548559,1736499,731192,1561900,1561900,1928139,1732004
1551063,2290527,1206544,935411,935411,2145931,1543382
1551171,1207866,2331534,NULL,NULL,NULL,NULL
1552151,1635967,1548390,1756428,1756428,NULL,753412
1552613,486234,2260432,2242648,2242648,2000263,873508
1555903,2462396,1732370,1858406,1858406,3065781,1765603
1558290,1736499,731192,1249612,1249612,1928139,814714
1558373,1819807,1006258,1828181,1828181,1590918,1983184
1558431,1544168,749218,1248755,1248755,486386,1735965
1558911,1320058,NULL,NULL,NULL,NULL,NULL
1559669,453345,376834,424248,424248,351661,376673
1559763,1736499,1249612,1249650,1249650,815047,493901
1559835,1526986,NULL,NULL,NULL,NULL,NULL
1559902,752724,NULL,NULL,NULL,NULL,NULL
1560974,965066,3018433,486386,486386,NULL,NULL
1561900,1451923,1745545,NULL,NULL,1221570,1223643
1562304,1831670,1921416,1487965,1487965,1525502,1320283
1562757,2143339,1218994,1814389,1814389,1814516,1106684
1564744,1732370,1735624,NULL,NULL,NULL,NULL
1564952,440993,1647957,1548390,1548390,1698222,NULL
1564978,1698222,NULL,NULL,NULL,NULL,NULL
1565864,1515592,2290527,1246985,1246985,1928439,1856903
1565984,1451923,1535514,1831258,1831258,1765603,486386
1566049,1566084,NULL,NULL,NULL,NULL,NULL
1566084,1566049,NULL,NULL,NULL,NULL,NULL
1569685,873425,1256151,1247762,1247762,1765603,1828429
1572637,1797061,814530,1446547,1446547,1000446,815227
1575384,1207291,1228196,1830667,1830667,1526603,1202193
1575878,1206840,1773153,1207579,1207579,1575915,1831276
1575915,1773153,2290527,1207579,1207579,988366,1968626
1575919,2657432,1526531,1207291,1207291,1901767,1526603
1575922,440993,436236,869751,869751,1206593,1814796
1576201,1494830,547841,478371,478371,1193596,NULL
1577509,683555,1694704,814976,814976,1641443,1871262
1578159,1264271,NULL,NULL,NULL,NULL,NULL
1578205,2375813,2028744,1207706,1207706,NULL,NULL
1578375,2151835,1235479,1507344,1507344,1828568,1988507
1578461,1938279,1938266,2134800,2134800,1235388,1316533
1578758,440993,1796631,NULL,NULL,NULL,NULL
1584890,1207706,NULL,NULL,NULL,NULL,NULL
1590918,1521818,1558373,1548390,1548390,1817806,1983184
1593918,1766430,1761658,1853372,1853372,1526603,1227694
1593948,485208,1207130,991230,991230,2164979,1313071
1593956,1447549,1659913,458583,458583,NULL,NULL
1602985,445230,945829,NULL,NULL,NULL,NULL
1603265,1754823,1795959,1234011,1234011,1193751,752357
1603498,549488,448227,619600,619600,NULL,NULL
1604387,1000446,NULL,NULL,NULL,NULL,NULL
1605626,2386978,NULL,NULL,NULL,NULL,NULL
1605642,1819741,1831603,2195278,2195278,394138,485319
1608156,1264271,NULL,NULL,NULL,NULL,NULL
1609115,2028013,NULL,NULL,NULL,NULL,NULL
1609160,1304365,NULL,NULL,NULL,NULL,NULL
1610450,1828129,1118999,1828525,1828525,1756428,NULL
1610966,760611,NULL,NULL,NULL,NULL,NULL
1611401,1889124,NULL,NULL,NULL,NULL,NULL
1613672,1232955,1828129,1118999,1118999,1828525,NULL
1615282,1959419,NULL,NULL,NULL,NULL,NULL
1618842,3019374,1683533,1711554,1711554,1507592,1217749
1620057,1840208,752471,1303442,1303442,1193751,1488060
1620546,1689073,1527084,NULL,NULL,NULL,NULL
1626917,2066165,1866429,1262422,1262422,1728512,2174015
1635967,1736499,731192,1756428,1756428,NULL,753412
1636006,814770,1006264,1814596,1814596,1921443,1525338
1641443,1732808,1207496,1889278,1889278,1868357,1695266
1647046,1206920,2689716,1865804,1865804,1865708,NULL
1647957,1814658,1502957,1832042,1832042,1218968,1701339
1648154,1773153,1866127,752724,752724,NULL,NULL
1651328,728689,NULL,NULL,NULL,NULL,NULL
1655111,1709401,485214,NULL,NULL,NULL,NULL
1656214,1828129,1118999,1610450,1610450,1756428,NULL
1656379,2052666,2246213,1339757,1339757,1764100,2238272
1656903,376800,493433,491009,491009,382765,1193596
1659190,2260432,461897,2242648,2242648,873508,1517705
1659198,1303109,1814596,2110800,2110800,1542332,NULL
1659241,1555903,2462396,1072635,1072635,3065781,1537324
1659913,1593956,1447549,458583,458583,NULL,NULL
1660193,1273972,1442884,NULL,NULL,NULL,NULL
1660330,1502957,1731171,1241726,1241726,1235617,1227694
1661741,NULL,NULL,NULL,NULL,NULL,NULL
1661923,2193368,NULL,NULL,NULL,NULL,NULL
1662974,1752323,1773153,1866429,1866429,1866127,1728512
1664552,1400396,NULL,NULL,NULL,NULL,NULL
1665647,1689073,1746376,1527084,1527084,NULL,NULL
1667356,1206742,1072672,1756428,1756428,1831258,1257787
1667401,1793162,1221802,1503602,1503602,1724725,1793331
1668459,1795959,1303442,1520595,1520595,1488060,1840281
1675164,1207214,1763388,753355,753355,NULL,NULL
1675319,440993,436187,NULL,NULL,NULL,NULL
1675970,1006264,445115,1736369,1736369,1685853,944521
1675975,1422804,1736432,988350,988350,NULL,NULL
1676227,2164884,1207130,NULL,NULL,NULL,NULL
1676379,1232955,1613672,1312950,1312950,1758403,1685484
1676442,1889294,2111007,NULL,NULL,NULL,NULL
1677592,385765,491009,382789,382789,382765,496978
1677647,453345,455417,1274488,1274488,1087593,376673
1677685,457059,2126937,385788,385788,983924,547848
1677708,433206,1677914,443364,443364,NULL,NULL
1677914,1677708,443364,NULL,NULL,NULL,NULL
1678059,354071,375003,NULL,NULL,NULL,NULL
1678100,983944,1067770,950440,950440,NULL,NULL
1678123,1304012,NULL,NULL,NULL,NULL,NULL
1680809,493182,NULL,NULL,NULL,NULL,NULL
1682119,485208,1694432,NULL,NULL,NULL,NULL
1682142,1526531,485208,NULL,NULL,NULL,NULL
1682243,1207130,1694432,1853372,1853372,NULL,NULL
1683533,1871668,1385258,1316335,1316335,1235617,NULL
1684102,1487914,NULL,NULL,NULL,NULL,NULL
1685484,1488015,1312950,2097224,2097224,1904820,1816938
1685727,1318670,1820740,1548390,1548390,1735386,1407386
1685853,1285381,497954,1207291,1207291,524713,944521
1686971,1207214,2189113,1488024,1488024,1279370,NULL
1687527,1206920,1626917,1262422,1262422,2174015,2099261
1688052,1502957,1736226,1451923,1451923,1765603,1256197
1688077,1542793,1928015,1832042,1832042,916149,1217749
1689073,1746376,1665647,1620546,1620546,NULL,NULL
1689696,2657432,1238263,1730412,1730412,1764801,1407406
1689812,1942074,1221802,1793296,1793296,NULL,NULL
1690492,485485,1207291,2324014,2324014,1575919,1526603
1692047,1562304,1487965,2377103,2377103,1206530,1525834
1694432,1248921,1682243,930483,930483,1682119,1853372
1694704,1732808,683555,814976,814976,1871262,1747669
1695266,1858406,1868335,2290932,2290932,1641443,1320283
1695798,440993,485214,1333915,1333915,1287295,1698222
1698222,440993,983749,485214,485214,1247673,1207073
1701339,1736499,1702479,1752258,1752258,814714,1997887
1702479,1558290,1736499,731192,731192,1426105,814714
1704049,683555,1889278,814976,814976,1320622,1845683
1705430,2160304,1221802,1793288,1793288,1793350,1793331
1706497,NULL,1736226,1736369,1736369,1853372,1814796
1707763,1385258,1507696,1712976,1712976,945829,1507592
1709401,485214,1318670,445115,445115,1817806,1106684
1711554,1871668,1822113,2189094,2189094,1526823,1765231
1712976,1731171,498396,1444940,1444940,753208,1839003
1713193,1006264,1284869,1828181,1828181,1736114,1764801
1715268,814770,1451923,1828181,1828181,1765603,1256197
1721653,1488015,NULL,NULL,NULL,NULL,NULL
1721744,1006258,1928015,2021651,2021651,943212,1228196
1724150,1247654,1752258,1736369,1736369,1218994,1735386
1724725,1793162,1667401,1503602,1503602,2158455,1793331
1725321,2165262,1207130,436130,436130,2164979,NULL
1726795,2189173,1251381,NULL,NULL,NULL,NULL
1728512,1833057,1866429,1235388,1235388,2028718,1865728
1730412,1238263,1856903,1814214,1814214,1764801,1781436
1730553,1466123,1793340,1526203,1526203,1793260,NULL
1731037,1578375,2151835,1235479,1235479,1837657,1828568
1731063,1687527,NULL,NULL,NULL,NULL,NULL
1731137,2028507,1253366,NULL,NULL,NULL,NULL
1731171,1241726,1745545,1730412,1730412,1340159,1235617
1732004,1558290,1736499,731192,731192,1246626,1249146
1732370,1555903,2462396,1564744,1564744,3065781,1217749
1732808,683555,1694704,1542901,1542901,1845683,753169
1732876,2028215,NULL,NULL,NULL,NULL,NULL
1733387,1542793,760716,1832042,1832042,1828397,1828259
1733565,1558290,1736499,731192,731192,1635967,1732004
1734622,1555903,1300760,1143489,1143489,1921287,753412
1735053,1385682,1206544,930376,930376,1503351,1875303
1735148,1752323,1735425,1206920,1206920,1525878,815197
1735204,1731171,1730412,1928113,1928113,1407406,1735325
1735285,1521818,1454707,1765231,1765231,2188917,1921233
1735325,1908461,2613931,2059705,2059705,2312392,1407406
1735386,1521818,1685727,1072672,1072672,486386,1256197
1735425,1735537,1795043,1728512,1728512,815197,1747250
1735511,748694,1747529,1927956,1927956,493901,1451864
1735537,1662974,1735425,1773153,1773153,1866365,815197
1735624,1831670,1735204,1832042,1832042,1072635,1635967
1735646,1385258,1871668,1683533,1683533,991179,1235617
1735678,1303109,790346,2022783,2022783,1526862,1921233
1735725,1760726,1732808,1207675,1207675,1902733,1845703
1735879,NULL,1118999,1828525,1828525,1764801,1656214
1735965,1928015,1814729,1820740,1820740,1284573,1106684
1736114,NULL,1284849,1548390,1548390,1814530,1407406
1736177,1735053,1249015,752724,752724,1525878,1377758
1736226,1688052,1451923,1340159,1340159,1814750,1701339
1736254,1659241,1906656,1921407,1921407,1548390,893558
1736284,1303109,1659198,1206530,1206530,1526740,2110800
1736369,1521818,445115,1675970,1675970,524713,1814389
1736381,1525776,1507344,1235617,1235617,1125958,2111007
1736432,1675975,1521818,988350,988350,NULL,NULL
1736499,1558290,731192,1928139,1928139,1732004,1246626
1736546,760716,1659241,1218891,1218891,1927956,1537324
1741875,1943280,NULL,NULL,NULL,NULL,NULL
1741886,1754823,1013234,752471,752471,1839335,1840234
1741898,1840172,2000135,1795959,1795959,752357,1840281
1741905,1840654,1799777,983669,983669,983658,802560
1741964,1840654,751146,983669,983669,983658,802560
1745120,2683978,3019374,1928269,1928269,2281192,2784169
1745545,1736499,2151835,1856903,1856903,814714,1837657
1745681,1323294,928816,2205636,2205636,1747736,1240010
1745769,2242746,NULL,NULL,NULL,NULL,NULL
1745806,2023090,2242746,NULL,NULL,NULL,NULL
1745944,988426,NULL,NULL,NULL,NULL,NULL
1746092,711529,983749,485507,485507,1695798,2189036
1746376,1689073,1665647,NULL,NULL,NULL,NULL
1747250,1833057,1249015,1866429,1866429,1235388,1728512
1747529,1814729,1928156,2022783,2022783,1736369,2188917
1747562,2165175,1207130,2165141,2165141,991230,2102330
1747626,1206840,1207579,1575878,1575878,1831276,1543382
1747669,683555,1694704,814976,814976,1871262,2362658
1747736,928816,2205636,2023090,2023090,2685164,1902733
1752167,1218891,1688077,944521,944521,NULL,1217749
1752258,NULL,753083,1820740,1820740,1218994,1701339
1752323,1662974,1206920,1866127,1866127,1752391,815197
1752391,1752323,1866317,1648154,1648154,1747250,1206306
1753134,1858180,NULL,NULL,NULL,NULL,NULL
1753416,1928015,943212,1675970,1675970,1796631,2385751
1753584,2382909,NULL,NULL,NULL,NULL,NULL
1754823,752471,1603265,1840605,1840605,1839335,1840234
1756428,1561900,1118999,1635967,1635967,1223643,NULL
1756451,1938266,NULL,NULL,NULL,NULL,NULL
1757655,2137963,2374719,1521818,1521818,2377103,1928439
1758403,1232955,1248017,NULL,NULL,1735725,2776082
1758441,NULL,1521818,753083,753083,486386,1525338
1759408,748694,1525863,937732,937732,1575384,1202193
1759429,1488015,1735725,1685484,1685484,NULL,NULL
1759480,485214,1426105,394138,394138,NULL,NULL
1760726,1732808,1323294,1735725,1735725,753169,1845703
1761585,1662974,1773153,NULL,NULL,1575878,1223643
1761658,1207291,2324014,1812361,1812361,1526603,1227694
1761848,1675970,795531,1228196,1228196,NULL,NULL
1761853,1227662,NULL,NULL,NULL,NULL,NULL
1763344,1407117,119308,2083015,2083015,1488024,909389
1763388,1207214,1486104,2083015,2083015,1207166,1675164
1763900,1207214,2189113,1526309,1526309,2319209,NULL
1763930,1767425,NULL,NULL,NULL,NULL,NULL
1763950,1207214,1764215,2083015,2083015,2319209,1764062
1763991,1901631,1526231,1799747,1799747,1279370,753355
1764000,491916,1085613,119308,119308,1207166,2319209
1764062,1763950,2083015,1488024,1488024,2319209,1279370
1764100,1407117,1901631,1772812,1772812,909389,1779511
1764135,2052666,1207214,1339757,1339757,1526309,1279370
1764215,1207214,119308,1526231,1526231,1763344,1279370
1764801,873425,1555903,1246296,1246296,1765603,1924898
1765231,1558290,1736499,731192,731192,1928139,1426105
1765603,873425,1736499,731192,731192,1561900,1221570
1766005,1686971,1488024,1763991,1763991,NULL,NULL
1766430,1593918,1422804,1731171,1731171,1812361,1313071
1767425,1763930,83145,1488024,1488024,NULL,NULL
1767442,1779492,1901631,1407117,1407117,909389,1767549
1767549,1779492,1207214,1767442,1767442,1526309,1279370
1768188,1193751,1668459,1741886,1741886,NULL,NULL
1770858,2174055,2028400,2028215,2028215,NULL,NULL
1771106,1526231,753355,NULL,NULL,NULL,NULL
1771174,1800028,NULL,NULL,NULL,NULL,NULL
1771287,1736226,NULL,NULL,NULL,NULL,NULL
1771320,941477,2462396,1451923,1451923,1814214,1525338
1772086,1732808,683555,814976,814976,753169,2362658
1772598,1207214,1486104,NULL,NULL,NULL,NULL
1772812,1407117,1901631,1767442,1767442,1764100,1779511
1773153,1662974,1735537,1207579,1207579,1866127,1575915
1778035,1620057,1795959,1520595,1520595,1940895,1488060
1779492,1207214,1767442,1767549,1767549,NULL,NULL
1779511,1407117,83145,1772812,1772812,909389,1764100
1779796,1221802,1793288,2189173,2189173,1705430,1793350
1779940,497880,NULL,NULL,NULL,NULL,NULL
1781436,1385763,1730412,1543382,1543382,NULL,NULL
1781842,1763991,NULL,NULL,NULL,NULL,NULL
1788758,440993,1101631,436236,436236,1287295,1575922
1788831,988426,1820467,NULL,NULL,NULL,NULL
1793033,1793350,NULL,NULL,NULL,NULL,NULL
1793162,2160304,1019284,1667401,1667401,1793350,1793331
1793182,1959419,1217197,NULL,NULL,NULL,NULL
1793208,1332890,NULL,NULL,NULL,NULL,NULL
1793260,1526203,1730553,NULL,NULL,NULL,NULL
1793288,1793162,1779796,1251381,1251381,2158455,1793350
1793296,1942074,1667401,1417481,1417481,1689812,1793331
1793331,1793162,2160304,1667401,1667401,2189173,993155
1793340,1466123,1526203,1730553,1730553,NULL,NULL
1793350,1793162,1221802,1793288,1793288,2158455,1526178
1794659,941477,2137963,1771320,1771320,1814389,1565984
1794839,909282,NULL,NULL,NULL,NULL,NULL
1795043,1866429,1928521,NULL,NULL,1728512,2211447
1795067,749218,1340338,1735678,1735678,1140655,1757655
1795111,1561900,1928521,1795043,1795043,814714,1223643
1795138,1526531,NULL,NULL,NULL,NULL,NULL
1795959,1754823,1840335,1234011,1234011,1940895,1989162
1796509,1207866,1487914,NULL,NULL,NULL,NULL
1796631,440993,869751,1526790,1526790,1206515,1218994
1796884,1824509,983730,1840371,1840371,NULL,NULL
1797061,1450770,1572637,2028215,2028215,NULL,NULL
1797103,1824601,745218,1741905,1741905,1824533,752967
1797397,752357,NULL,NULL,NULL,NULL,NULL
1797521,1730553,NULL,NULL,NULL,NULL,NULL
1799747,1526231,2189113,1656379,1656379,1763991,1279370
1799777,1840654,1741905,983669,983669,983658,802560
1800028,1771174,NULL,NULL,NULL,NULL,NULL
1812351,1732808,2192423,1207496,1207496,2348733,2110800
1812361,1526986,1207130,2165141,2165141,2164979,1313071
1812367,1206544,1535514,1747626,1747626,1831276,1968626
1812783,1006264,1675970,1206593,1206593,1575384,1575922
1814214,1507999,2462396,1856903,1856903,1730412,1837657
1814365,2462396,1451923,1715268,1715268,1828285,1765603
1814389,1928015,1521818,1736369,1736369,944521,1814516
1814516,1831670,753083,1562757,1562757,1218994,1814389
1814530,1928015,1736114,1814389,1814389,2189036,2188917
1814553,1507999,NULL,1814729,1814729,1814214,1548559
1814584,1241726,1635967,1340159,1340159,NULL,753412
1814596,814770,1241726,1928139,1928139,1828285,1765603
1814635,1659241,1247654,1832042,1832042,1814767,1928497
1814658,1828214,1502957,1647957,1647957,919322,1235617
1814695,1517221,1206742,1543830,1543830,1340159,988366
1814729,2462396,1730412,1814214,1814214,2188917,1765603
1814750,1561900,1451923,NULL,NULL,1223643,1249146
1814767,1814635,1385763,1256151,1256151,1756428,1765603
1814796,814478,1647957,1454707,1454707,1216552,1575922
1814808,1206840,869751,1206696,1206696,2145931,NULL
1815518,1303109,1206742,1828181,1828181,1206515,1125958
1815586,1318670,445072,NULL,NULL,NULL,NULL
1815609,436130,795531,1695798,1695798,NULL,NULL
1815677,1525614,NULL,NULL,NULL,NULL,NULL
1816480,814770,1502957,1284869,1284869,2864465,1407386
1816689,1526641,1026444,485354,485354,NULL,NULL
1816938,1312950,2097224,1758403,1758403,1685484,1526762
1817806,1006264,1318670,1736369,1736369,944521,1106684
1818534,1558290,1819807,965088,965088,524713,2188917
1818551,2195278,1562304,1487965,1487965,NULL,NULL
1818675,1318670,485319,NULL,NULL,NULL,NULL
1818969,2374719,485598,1206530,1206530,NULL,NULL
1819688,440993,965088,445072,445072,945829,1724150
1819741,2195278,1605642,1921416,1921416,485319,2703408
1819807,1558290,1558373,1818534,1818534,1730412,524713
1819846,1389188,1525338,NULL,NULL,NULL,NULL
1820024,1206840,1207579,935411,935411,1831276,1968626
1820467,1788831,NULL,NULL,NULL,NULL,NULL
1820740,1752258,1006264,1685727,1685727,937732,1247673
1822113,1502957,1241726,1745545,1745545,1235617,753208
1822380,1143380,1227662,1014490,1014490,1731037,1407406
1824462,1541992,752357,NULL,NULL,NULL,NULL
1824509,1840654,1741905,983669,983669,983658,802560
1824533,1824601,745218,1741905,1741905,752967,2188943
1824601,745218,1741905,1799777,1799777,752967,752287
1824691,752530,NULL,NULL,NULL,NULL,NULL
1824706,752471,NULL,NULL,NULL,NULL,NULL
1826842,1489811,1828129,1118999,1118999,1828525,1756428
1828129,1118999,1610450,1828525,1828525,1756428,NULL
1828172,1218891,1928015,1647957,1647957,1828525,1828285
1828181,1819807,1713193,1906656,1906656,1558373,1715268
1828214,1814658,1502957,1688052,1688052,753083,2189132
1828259,1709401,1928015,1733387,1733387,NULL,NULL
1828285,1736499,1451923,1715268,1715268,1828172,1256197
1828397,1871668,1385258,1733387,1733387,1409609,1217749
1828429,1569685,1675970,1698222,1698222,NULL,NULL
1828525,1232955,1828129,1118999,1118999,1635967,NULL
1828568,1578375,2151835,1235479,1235479,1837657,1988507
1828690,1526531,1101631,2145931,2145931,909280,1831276
1830193,1233209,2375813,2028744,2028744,NULL,NULL
1830667,1761658,2324014,1228196,1228196,1311435,1575384
1831203,1732808,1870535,1339965,1339965,1577509,2348733
1831258,2290527,1206544,1812367,1812367,1236678,1565984
1831276,1206840,1207579,1747626,1747626,1543382,1820024
1831330,941477,1735678,1264161,1264161,1503351,NULL
1831373,1795067,1262796,1938130,1938130,1928535,1264161
1831391,2401577,1246985,1812367,1812367,1831276,814712
1831603,1605642,1559763,1735386,1735386,486386,1217749
1831670,1736499,1249612,1249650,1249650,814714,753412
1831992,2188926,1006258,983749,983749,1499435,1685853
1832026,1285381,937663,937732,937732,NULL,NULL
1832042,1831670,1928015,1736499,1736499,1647957,1927956
1832686,549262,462197,443173,443173,NULL,NULL
1832759,1938266,NULL,NULL,NULL,NULL,NULL
1833057,1866429,NULL,1232902,1232902,2028718,1223643
1837657,1578375,2151835,1235479,1235479,1828568,1988507
1839003,1908461,1635967,1444940,1444940,NULL,753412
1839335,1754823,752471,1603265,1603265,1234011,1840234
1839430,2330836,752312,751146,751146,NULL,983658
1840172,1754823,1840208,752471,752471,1839335,1840234
1840190,1754823,752471,1840605,1840605,1839335,1840234
1840208,1754823,752471,1840605,1840605,3009358,1840234
1840234,1754823,752471,1013234,1013234,1234011,1839335
1840281,2000135,1795959,704566,704566,1668459,752357
1840302,1668459,1741886,NULL,NULL,NULL,NULL
1840324,752402,751146,752649,752649,983658,1388405
1840335,1754823,1541992,1795959,1795959,1839335,1488060
1840371,1840654,1741905,983669,983669,983658,802560
1840605,1754823,752471,1013234,1013234,1839335,1840234
1840654,1741905,983669,1741964,1741964,802560,1840371
1845683,1732808,683555,1207496,1207496,1577509,1871262
1845690,1385258,1871668,1419445,1419445,1735646,2110800
1845703,1760726,1207675,1735725,1735725,753169,1685484
1852926,497880,NULL,NULL,NULL,NULL,NULL
1853041,1207130,1487764,1812361,1812361,2102330,1313071
1853308,2165175,1747562,991165,991165,NULL,NULL
1853372,1593918,1682243,485208,485208,1706497,1575919
1853473,1928462,NULL,NULL,NULL,NULL,NULL
1856702,1578375,2151835,1507344,1507344,1828568,1988507
1856903,1565864,1745545,NULL,NULL,1730412,1814214
1857363,1262422,1687527,NULL,NULL,NULL,NULL
1858180,753083,1753134,1715268,1715268,944521,NULL
1858406,1555903,2290932,1319973,1319973,1695266,1320283
1861606,2165175,2043852,991230,991230,1243545,1237597
1861703,2164613,1248755,1243545,1243545,1231429,1548559
1861731,1526986,NULL,NULL,NULL,NULL,NULL
1865540,1392349,965088,2701951,2701951,445230,1247673
1865686,1575878,1747250,1503351,1503351,NULL,NULL
1865708,1662974,1752323,1206920,1206920,1866127,1866365
1865728,1833057,1866429,1235388,1235388,1728512,2028718
1865804,1273972,1206920,1647046,1647046,1526623,1525878
